x,y,boja
46,99.36000000000001,0
24,46.32,1
46,97.97999999999999,0
31,57.35,1
3,6.27,0
47,82.72,1
49,108.28999999999999,0
30,66.0,0
6,13.200000000000001,0
2,3.6,1
9,17.189999999999998,1
14,29.82,1
23,40.48,1
40,83.2,0
37,73.26,1
39,68.64,1
36,65.88,0
29,63.220000000000006,0
16,32.32,0
18,35.82,1
28,55.72,0
13,24.83,1
5,10.95,1
48,92.16,1
27,48.6,1
28,59.92,0
30,59.7,1
42,93.66,0
28,53.76,1
11,24.53,0
4,8.32,0
22,40.92,1
15,33.6,1
48,84.0,1
5,10.149999999999999,0
37,72.14999999999999,0
22,39.82,1
34,68.0,0
43,87.72,0
5,9.45,1
26,52.25999999999999,0
12,24.599999999999998,0
36,68.03999999999999,1
50,103.49999999999999,0
21,45.57,0
7,14.209999999999999,0
30,60.6,0
28,57.39999999999999,0
4,8.72,0
4,7.6,1
49,88.69,0
27,53.73,0
32,59.52,1
45,97.2,0
6,10.74,1
49,102.41,0
50,89.5,1
41,72.16,1
46,84.18,1
20,43.6,0
38,71.82,0
10,22.0,0
2,4.48,0
7,13.93,1
31,61.07,1
40,84.80000000000001,1
36,69.48,1
48,96.96000000000001,0
5,10.35,0
19,33.25,1
3,6.18,1
7,12.39,1
30,55.800000000000004,1
3,6.6000000000000005,0
30,57.599999999999994,1
12,21.84,1
17,30.94,1
36,78.48,0
28,61.040000000000006,0
25,44.5,1
34,61.2,1
29,51.04,0
45,90.44999999999999,0
38,77.52,0
41,71.75,1
25,44.25,1
22,38.94,1
17,37.23,1
20,40.199999999999996,0
11,20.79,1
27,55.88999999999999,0
21,39.06,1
31,61.38,1
8,16.56,0
17,35.36,0
33,61.38,1
41,80.77,0
45,85.95,0
2,3.5,0
4,8.52,0
10,20.0,0
10,22.3,0
38,80.56,0
34,65.96,1
20,40.199999999999996,0
16,32.0,0
19,34.96,1
38,82.08000000000001,0
41,79.53999999999999,1
42,75.60000000000001,1
25,48.25,0
31,69.44000000000001,1
23,43.47,1
18,31.5,0
26,56.94,0
17,35.87,0
10,18.6,1
19,38.56999999999999,0
47,88.83,1
35,64.05,0
49,93.1,1
25,46.75,1
13,23.27,0
14,24.64,1
18,37.44,0
8,16.24,0
10,18.0,1
48,89.28,0
33,66.33,0
31,67.89,1
22,40.260000000000005,1
44,82.28,0
37,79.55,1
9,17.73,0
4,7.28,1
39,77.61,1
19,40.28,0
39,72.54,1
15,27.6,1
20,39.4,1
15,31.5,0
14,25.060000000000002,1
40,82.8,0
13,25.09,1
26,57.720000000000006,1
4,9.0,0
10,22.1,1
34,60.18,1
9,19.349999999999998,0
26,49.92,0
27,55.620000000000005,0
30,60.3,0
24,49.92,1
30,53.4,1
13,28.080000000000002,0
32,66.88,1
26,50.44,0
5,10.600000000000001,0
35,69.3,1
49,100.44999999999999,0
3,6.33,0
40,80.8,0
2,3.56,1
9,16.02,0
3,6.36,0
16,35.68,0
18,40.32000000000001,0
14,31.22,1
25,53.0,1
14,30.520000000000003,0
24,43.92,0
15,31.349999999999998,0
19,41.23,0
42,76.02,0
2,4.26,0
24,54.0,0
34,70.72,1
37,74.36999999999999,0
47,94.46999999999998,0
28,61.60000000000001,0
9,17.82,1
23,44.62,1
20,43.8,0
20,39.8,1
31,67.89,0
4,7.0,0
28,54.879999999999995,1
11,22.33,1
18,39.6,0
20,44.800000000000004,0
15,28.2,1
27,47.79,0
9,17.009999999999998,1
41,76.67,1
34,63.24,1
21,42.42,0
35,74.2,0
22,45.760000000000005,0
19,34.77,0
11,22.549999999999997,0
12,25.56,0
8,16.0,0
39,70.59,1
6,12.120000000000001,1
14,26.74,1
43,95.89,0
38,70.68,1
25,45.75,1
26,58.5,0
17,30.09,1
20,35.6,1
12,24.72,0
43,85.57,1
3,5.25,0
7,14.349999999999998,0
46,95.68,0
42,84.0,0
44,99.0,0
14,24.64,1
41,78.72,1
23,40.25,0
36,68.39999999999999,0
32,56.96,1
24,48.239999999999995,0
3,5.34,0
12,24.48,0
12,21.48,1
18,33.120000000000005,1
28,54.6,1
33,63.029999999999994,0
26,54.339999999999996,0
11,22.77,0
15,27.900000000000002,1
46,86.02000000000001,1
38,73.34,1
26,55.120000000000005,1
16,32.16,0
27,47.25,1
31,67.89,1
30,53.1,0
23,46.23,1
19,39.52,0
41,77.89999999999999,1
9,17.64,1
9,20.160000000000004,0
19,39.709999999999994,0
10,18.3,1
19,34.58,0
35,76.30000000000001,0
49,89.18,1
1,2.14,1
23,42.09,1
6,11.16,0
2,4.0,0
6,11.399999999999999,1
1,2.19,0
15,28.95,1
49,96.03999999999999,1
50,109.5,0
36,66.24000000000001,0
37,69.56,1
3,5.85,1
18,36.72,0
7,15.120000000000001,1
21,46.41,0
41,75.03,1
34,61.88,1
47,82.25,1
44,95.47999999999999,0
20,35.6,1
44,84.47999999999999,1
27,58.05,0
32,67.52,0
47,87.42,0
19,39.33,0
29,55.97,1
17,33.83,1
40,86.4,0
13,27.3,0
42,79.38,1
8,15.76,1
38,67.64,0
11,20.68,1
24,46.08,1
37,81.77,0
28,52.080000000000005,1
6,12.72,0
9,18.36,0
34,63.580000000000005,1
25,49.75,1
13,29.25,1
13,27.43,1
5,10.4,0
17,32.81,1
28,50.96,1
40,88.4,0
29,57.42,1
46,100.74,0
14,25.060000000000002,1
34,68.33999999999999,1
14,25.62,1
8,16.56,0
32,65.92,0
8,15.52,1
50,92.5,1
44,97.24,0
13,24.96,1
32,64.32,0
40,80.39999999999999,0
16,30.88,1
25,52.75,0
46,96.60000000000001,1
8,18.0,1
46,85.56,1
29,64.67,0
47,98.22999999999999,0
11,19.36,1
43,96.32000000000001,0
42,90.3,0
4,7.24,0
19,42.75,0
42,73.92,0
6,10.98,1
23,44.85,1
43,88.58,0
48,106.56,0
5,10.700000000000001,0
11,23.65,0
35,77.7,0
15,27.3,1
38,79.41999999999999,1
25,55.00000000000001,0
29,63.51,0
23,43.010000000000005,0
20,43.4,0
13,25.61,1
24,48.96,0
22,40.7,1
20,39.0,1
41,90.2,0
49,94.57,0
16,35.68,0
37,64.75,1
42,88.61999999999999,0
25,51.24999999999999,1
28,57.120000000000005,0
25,45.75,1
42,83.58,0
7,12.81,1
31,69.44000000000001,1
27,47.79,1
2,3.72,0
5,9.1,0
26,54.86,0
28,61.60000000000001,0
30,61.49999999999999,1
46,102.58,0
32,64.96,1
1,1.91,1
39,79.56,1
35,76.64999999999999,0
24,43.44,1
1,2.19,0
17,33.83,0
35,72.8,0
12,21.84,0
43,79.55,0
29,53.650000000000006,1
27,52.11,1
26,46.800000000000004,1
41,85.28,1
44,94.16000000000001,1
44,79.64,1
16,35.04,0
31,54.56,1
9,18.900000000000002,0
8,17.44,1
41,84.05,0
44,81.4,1
42,88.61999999999999,0
32,70.72,0
18,39.42,1
45,90.9,0
35,66.14999999999999,1
18,35.46,0
23,42.09,0
14,25.34,1
28,56.279999999999994,0
41,71.75,0
14,28.560000000000002,0
24,51.84,0
15,29.4,1
5,10.0,0
19,38.76,0
13,23.79,0
12,21.240000000000002,1
47,86.95,0
17,32.81,1
17,31.11,0
35,66.14999999999999,1
9,17.73,1
4,8.68,0
11,19.8,1
33,61.050000000000004,1
33,65.67,1
50,105.0,0
24,45.599999999999994,1
13,24.05,1
43,89.86999999999999,0
47,97.76,0
24,50.64,0
25,44.75,1
38,67.64,1
8,15.52,1
3,6.540000000000001,0
21,38.43,0
32,69.44,0
49,86.24,1
28,56.839999999999996,0
34,72.08,0
1,1.78,1
32,63.36,1
9,16.38,1
31,65.10000000000001,0
49,87.71000000000001,1
29,62.64,0
16,28.8,0
1,2.01,1
10,17.9,1
48,95.03999999999999,1
23,41.17,1
14,25.48,0
10,22.0,0
16,34.08,0
24,49.67999999999999,1
46,99.36000000000001,0
37,68.08,1
26,55.120000000000005,0
15,31.049999999999997,1
