x,y,boja
37,75.85,0
36,70.92,0
50,102.0,0
48,93.12,0
31,66.03,1
8,14.32,1
47,91.64999999999999,1
24,51.84,0
4,8.96,0
15,30.15,1
32,66.88,0
24,42.96,0
40,72.4,1
14,24.78,1
28,52.36,0
21,37.800000000000004,0
50,100.0,0
14,25.060000000000002,1
35,63.7,0
41,83.64,0
11,19.36,0
9,15.84,1
40,71.2,1
31,64.48,0
30,63.3,1
30,57.0,0
7,14.700000000000001,0
7,13.44,0
21,41.58,1
31,65.72,0
4,8.2,1
34,67.32,0
12,21.12,0
40,72.0,0
38,78.66,1
2,4.04,1
40,82.4,0
48,108.0,1
3,6.51,1
18,36.17999999999999,1
21,42.0,1
39,86.19,1
16,33.76,0
6,11.52,0
28,55.72,1
41,71.75,1
28,60.480000000000004,1
50,106.5,0
30,64.2,1
7,12.88,0
34,74.80000000000001,0
2,3.62,0
29,56.839999999999996,0
18,39.24,0
35,63.7,0
46,89.24,1
17,30.43,1
37,67.34,1
48,106.08,0
15,28.65,0
18,32.4,1
35,63.35,0
43,79.98,1
48,89.28,1
45,96.75,1
3,6.6899999999999995,1
35,65.45,0
6,11.94,1
40,89.60000000000001,0
39,81.9,0
50,106.0,0
13,28.21,1
31,69.13,1
33,71.28,1
48,91.67999999999999,0
16,35.36,1
32,58.88,1
30,57.599999999999994,1
15,31.8,1
8,16.88,0
4,8.28,0
13,24.05,1
21,44.940000000000005,1
29,53.07,0
49,97.51,0
25,46.75,0
27,59.67,1
1,2.14,1
49,106.33,0
36,64.44,1
2,3.98,1
15,33.6,1
44,83.16,0
16,34.88,0
49,99.46999999999998,1
16,32.16,0
38,76.0,0
30,59.1,1
44,97.68,0
32,57.6,1
7,15.540000000000001,0
23,44.62,0
30,67.2,1
46,94.3,0
18,37.98,1
16,32.96,1
39,74.88,1
19,40.660000000000004,1
16,35.04,0
21,44.309999999999995,1
14,26.459999999999997,0
32,60.16,0
9,18.99,0
42,78.54,0
17,37.57,0
42,79.8,1
24,49.92,1
10,17.6,1
21,38.43,1
14,27.3,1
48,106.56,0
20,41.4,1
30,54.900000000000006,1
2,4.0,0
45,81.9,0
35,75.25,1
42,75.18,1
7,14.700000000000001,1
6,13.26,1
34,66.64,1
4,7.56,0
20,43.0,0
28,53.199999999999996,0
34,71.4,0
40,88.0,0
46,88.32,1
15,28.05,1
18,32.94,1
9,19.71,0
50,104.0,0
9,16.29,1
22,39.160000000000004,1
45,78.75,0
36,78.48,1
2,3.62,0
35,69.3,1
41,91.02000000000001,1
49,109.76,1
15,29.099999999999998,0
2,3.98,0
20,39.2,0
25,54.25,0
16,32.32,0
4,8.84,0
4,8.52,1
10,18.3,0
43,86.86,0
36,77.39999999999999,1
14,28.699999999999996,0
41,72.98,1
44,93.72,1
24,42.24,0
28,51.800000000000004,1
28,59.64,0
4,8.68,0
47,100.58000000000001,0
41,77.08,1
10,20.7,0
11,19.8,0
